deviation,scaled time dev,scaled order dev,depth,confidence,Date,Length (s),Winner,Players,filename
0.1949,0.1571,0.2326,140,0.7326,2019-07-02 01:27;32,463.8839285714286,Weenersaurus,(T)Weenersaurus vs ,2019-07-01 - (T)Weenersaurus VS (P)NULL.SC2Replay
0.1141,0.095,0.1331,140,0.9657,2019-07-05 14:55;27,1086.25,NULL,(T)leafall vs ,2019-07-05 - (T)leafall VS (P)NULL.SC2Replay
0.1587,0.173,0.1445,140,0.8126,2019-07-05 14:28;21,759.9107142857143,PuppyKing,(T)PuppyKing vs ,2019-07-05 - (T)PuppyKing VS (P)NULL.SC2Replay
0.2253,0.2043,0.2464,140,0.7309,2019-07-09 23:20;26,1207.6339285714287,CRY,(P)NULL vs ,2019-07-09 - (P)NULL VS (T)CRY.SC2Replay
0.0608,0.0625,0.0591,140,1.0,2019-07-09 23:59;38,379.0625,Ezekial,(P)NULL vs ,2019-07-09 - (P)NULL VS (T)Ezekial.SC2Replay
0.1336,0.1355,0.1316,140,0.8863,2019-07-09 23:37;44,791.4285714285714,NULL,(P)NULL vs ,2019-07-09 - (P)NULL VS (T)RoBotNiC.SC2Replay
0.0747,0.0792,0.0701,140,1.0,2019-07-09 23:46;41,450.9821428571429,grizzue,(T)grizzue vs ,2019-07-09 - (T)grizzue VS (P)NULL.SC2Replay
0.1078,0.0953,0.1203,140,0.9337,2019-07-12 02:32;13,1020.3125000000001,NULL,(T)Zoom vs ,2019-07-11 - (T)Zoom VS (P)NULL.SC2Replay
0.1439,0.1388,0.1489,140,0.9599,2019-07-24 00:28;23,988.9732142857143,NULL,(P)NULL vs ,2019-07-23 - (P)NULL VS (T)moralla.SC2Replay
0.2474,0.2096,0.2851,140,0.6278,2019-07-25 00:48;39,1206.7410714285716,NULL,(T)MrCraft vs ,2019-07-24 - (T)MrCraft VS (P)NULL.SC2Replay
