deviation,scaled time dev,scaled order dev,depth,build,confidence,Date,Length (s),Winner,Players
0.101,0.074,0.128,58,pvz_chargelot_allin,0.9991,2019-08-12 22:51;31,697.8125,NULL,(P)NULL vs (Z)Serral
0.1079,0.0821,0.1338,58,pvz_chargelot_allin,0.9992,2019-08-12 23:08;28,695.625,NULL,(Z)Tokash vs (P)NULL
0.101,0.074,0.128,58,pvz_chargelot_allin,0.4439,2019-08-12 22:51;31,697.8125,NULL,(P)NULL vs (Z)Serral
0.1192,0.1062,0.1322,131,pvz_dt_archon_drop,0.8594,2019-08-12 23:08;28,695.625,NULL,(Z)Tokash vs (P)NULL
0.1192,0.1062,0.1322,131,pvz_dt_archon_drop,0.8594,2019-08-12 23:08;28,695.625,NULL,(Z)Tokash vs (P)NULL
0.101,0.074,0.128,58,pvz_chargelot_allin,0.4439,2019-08-12 22:51;31,697.8125,NULL,(P)NULL vs (Z)Serral
0.101,0.074,0.128,58,pvz_chargelot_allin,0.4439,2019-08-12 22:51;31,697.8125,NULL,(P)NULL vs (Z)Serral
0.1445,0.1346,0.1543,89,pvp_2_gate_expand,0.5973,2019-07-16 01:51;58,1335.1339285714287,NardDog,(P)NardDog vs (P)NULL
0.1192,0.1062,0.1322,131,pvz_dt_archon_drop,0.9186,2019-08-12 23:08;28,695.625,NULL,(Z)Tokash vs (P)NULL
0.149,0.1299,0.1682,131,pvz_dt_archon_drop,0.4109,2019-08-20 23:15;23,730.625,VOID,(P)VOID vs (Z)Chepi
0.0801,0.0689,0.0912,140,pvt_blink_robo,0.9961,2019-08-29 12:50;14,755.6696428571429,NULL,(P)NULL vs (T)A.I. 1 (Very Easy)
0.3647,0.3533,0.376,140,pvt_blink_robo,0.0077,2019-08-29 00:23;44,695.9821428571429,VOID,(P)BarbecueBoy vs (P)VOID
