deviation,scaled time dev,scaled order dev,depth,build,confidence,Date,Length (s),Winner,Players
100,100,100,89,unknown,0.1659,2019-09-18 02:56;20,488.75000000000006,TheKyoJin,(P)NULL vs (P)TheKyoJin
100,100,100,140,unknown,0.0034,2019-09-18 02:44;20,719.5535714285714,TheKyoJin,(P)NULL vs (P)TheKyoJin
100,100,100,89,unknown,0.0314,2019-09-18 02:29;45,1384.0178571428573,NULL,(P)NULL vs (P)TheKyoJin
0.1028,0.0911,0.1145,140,pvt_blink_robo,0.9843,2019-09-18 01:58;44,1535.5803571428573,NULL,(P)NULL vs (T)Yanes
0.1189,0.1071,0.1307,140,pvt_blink_robo,0.9508,2019-09-18 01:29;32,727.3214285714287,NULL,(P)NULL vs (T)Yanes
0.0377,0.0351,0.0403,58,pvz_chargelot_allin,1.0,2019-09-18 00:22;56,353.08035714285717,NULL,(Z)Draxos vs (P)NULL
0.1151,0.0911,0.139,131,pvz_dt_archon_drop,0.917,2019-09-18 00:15;43,568.6160714285714,NULL,(Z)Draxos vs (P)NULL
100,100,100,140,unknown,0.0937,2019-09-17 23:54;43,589.7767857142858,A.I. 1 (Very Easy),(P)NULL vs (T)A.I. 1 (Very Easy)
0.0003,0.0006,0.0,58,pvz_chargelot_allin,1.0,2019-09-17 23:44;41,26.383928571428573,A.I. 1 (Very Easy),(P)NULL vs (T)A.I. 1 (Very Easy)
100,100,100,89,unknown,0.1158,2019-09-17 23:36;35,644.6875,NULL,(P)NULL vs (T)A.I. 1 (Very Easy)
0.0381,0.0362,0.0399,140,pvt_blink_robo,1.0,2019-09-17 23:19;44,294.5089285714286,A.I. 1 (Very Easy),(P)NULL vs (T)A.I. 1 (Very Easy)
100,100,100,89,unknown,0.026,2019-09-17 05:18;17,1294.1517857142858,Eclipse,(P)NULL vs (P)SetStndbySmn vs (P)kronos vs (P)Romeo vs (Z)DoctorVR vs (T)Eclipse
0.1987,0.1614,0.236,140,pvt_blink_robo,0.4408,2019-09-17 04:54;04,481.3392857142857,,(P)NULL vs (P)SetStndbySmn vs (P)kronos vs (P)HungSolo vs (Z)StimPacDealr vs (Z)Terror
100,100,100,58,unknown,0.0424,2019-09-17 04:43;19,953.5714285714287,kronos,(P)NULL vs (P)SetStndbySmn vs (P)kronos vs (P)Resolution vs (Z)freya vs (T)Komugi
100,100,100,58,unknown,0.0426,2019-09-17 04:25;59,838.2142857142858,Fallen,(P)NULL vs (P)SetStndbySmn vs (P)kronos vs (P)QueenDadDy vs (T)Askurka vs (T)Fallen
0.0011,0.0022,0.0,58,pvz_chargelot_allin,1.0,2019-09-17 04:10;38,88.48214285714286,kronos,(P)JITSAW vs (T)joel vs (Z)ElZorro vs (P)NULL vs (P)SetStndbySmn vs (P)kronos
0.1167,0.1066,0.1268,89,pvp_2_gate_expand,0.9477,2019-09-15 16:42;48,584.1071428571429,A.I. 1 (Very Easy),(P)NULL vs (P)A.I. 1 (Very Easy)
0.122,0.1034,0.1405,140,pvt_blink_robo,0.989,2019-09-15 16:31;45,270.0,A.I. 1 (Very Easy),(P)NULL vs (P)A.I. 1 (Very Easy)
0.0292,0.0303,0.0281,58,pvz_chargelot_allin,1.0,2019-09-15 16:25;34,337.8125,A.I. 1 (Very Easy),(P)NULL vs (Z)A.I. 1 (Very Easy)
0.1115,0.0872,0.1359,131,pvz_dt_archon_drop,0.9725,2019-09-15 16:19;09,561.5625,A.I. 1 (Very Easy),(P)NULL vs (Z)A.I. 1 (Very Easy)
